osmid,y,x,highway,street_count,junction,longitude,latitude,pop_male,pop_female,pop_total,households
2506089779,7.013777,100.4764402,,4,,100.4764402,7.013777,22,25,47,23
2506089837,7.0137938,100.4596452,,1,,100.4596452,7.0137938,20,20,40,16
2506089869,7.0137953,100.4623219,,4,,100.4623219,7.0137953,29,27,56,26
2506089879,7.0138255,100.4586471,,1,,100.4586471,7.0138255,25,17,42,25
2506089901,7.013871,100.4800334,,3,,100.4800334,7.013871,20,16,36,23
2506089928,7.0138519,100.4566943,,3,,100.4566943,7.0138519,11,27,38,20
2506089950,7.0138588,100.4581242,,3,,100.4581242,7.0138588,17,24,41,25
2506090056,7.0139929,100.4575436,,1,,100.4575436,7.0139929,21,19,40,22
2506090094,7.0140496,100.4581305,,1,,100.4581305,7.0140496,17,26,43,23
2506090112,7.0140511,100.465584,,3,,100.465584,7.0140511,27,14,41,23
