osmid,y,x,highway,street_count,junction,longitude,latitude,capacity,is_shelter,shelter_names,shelter_min_dist_deg,pop_male,pop_female,pop_total,households,flood_level_s0,flood_distance_s0_deg,flood_level_s1,flood_distance_s1_deg
1680663191,6.9923175,100.4640044,,1,,100.4640044,6.9923175,747.3419021131067,False,,,22,27,49,29,1,0.001524047732629247,3,0.004383900386927961
1680663195,6.9923338,100.4784649,,3,,100.4784649,6.9923338,2218.913531165551,False,,,18,26,44,17,3,0.0006488566732968739,1,0.0002119721790468499
1680663206,6.9924792,100.4776795,,3,,100.4776795,6.9924792,2260.313109145617,False,,,24,26,50,32,4,0.0004976189932588982,4,0.00018070140021323223
1680663246,6.9925138,100.4649513,,3,,100.4649513,6.9925138,1326.8139810541363,False,,,21,20,41,22,1,0.002395187975962242,2,0.0037765217530512786
1680663265,6.9925818,100.4791041,,1,,100.4791041,6.9925818,1166.9911556293716,False,,,18,33,51,24,3,0.00048736280863388763,5,0.0007541328769612393
1680663330,6.9927876,100.4648819,,3,,100.4648819,6.9927876,978.4093533277518,False,,,25,31,56,20,1,0.0024952671499834083,2,0.003966301710773091
1680663371,6.9927827,100.4775097,,1,,100.4775097,6.9927827,666.9625871984208,False,,,16,32,48,19,4,0.0004284490341998034,4,0.0002828667088054084
1680663374,6.9928184,100.474926,,4,,100.474926,6.9928184,3062.386595199731,False,,,25,28,53,28,4,0.0005004095551707792,2,0.0005202229762870565
1680663378,6.9928422,100.4764125,,3,,100.4764125,6.9928422,965.5525565967498,False,,,30,29,59,30,3,0.00017875008564688206,3,0.0006727075754178821
1680663383,6.9927763,100.4641273,,1,,100.4641273,6.9927763,568.2739473791398,False,,,20,23,43,25,1,0.0019481341284658942,2,0.0046331236072698085
1680663388,6.9928377,100.4756351,,1,,100.4756351,6.9928377,548.0393137021448,False,,,20,29,49,28,4,0.00023226912956519078,3,0.00039158375531116375
1680663396,6.99262,100.4662032,,1,,100.4662032,6.99262,782.6961094768544,False,,,21,33,54,20,1,0.002791172893610311,2,0.0027802240137531913
1680663402,6.9928531,100.4705829,,4,,100.4705829,6.9928531,1801.2497190216723,False,,,26,25,51,21,5,0.0011177884314011433,2,0.00043289321188483265
1680663461,6.9929198,100.4648485,,3,,100.4648485,6.9929198,1003.0151333129187,False,,,24,21,45,26,1,0.0025534710628898074,2,0.004061699838741589
1680663469,6.9929301,100.4709743,,3,,100.4709743,6.9929301,1374.5427372571944,False,,,24,17,41,37,5,0.0008650120054751834,2,0.0004526124079450677
1680663479,6.9928427,100.4670243,,3,,100.4670243,6.9928427,2060.1478316802554,False,,,15,26,41,22,1,0.0025849481667137453,2,0.0023981499402276896
1680663483,6.9931281,100.4781418,,1,,100.4781418,6.9931281,799.1399298530719,False,,,21,32,53,28,4,0.0003088516849301761,1,0.0006566543374008079
1680663538,6.9929919,100.4657011,,1,,100.4657011,6.9929919,652.5657420314981,False,,,24,23,47,20,1,0.003284400647843195,2,0.003404124272088415
1680663542,6.9930491,100.4715477,,4,,100.4715477,6.9930491,2686.240963996197,False,,,28,22,50,21,5,0.0007615023513949589,3,0.00017802152873503025
1680663630,6.9932424,100.4642573,,1,,100.4642573,6.9932424,382.67225855198114,False,,,25,21,46,23,1,0.0024014490868155096,3,0.0047160047764957524
1680663699,6.9933293,100.4647448,,3,,100.4647448,6.9933293,828.0182237759669,False,,,26,28,54,26,1,0.0027686752390909323,3,0.004327717556384879
1680663706,6.993324,100.4769737,,3,,100.4769737,6.993324,1289.4140126419954,False,,,20,20,40,26,3,0.0008304594441724385,4,0.0005251356718319241
1680663769,6.9934747,100.464708,,3,,100.464708,6.9934747,1607.1512348224014,False,,,22,26,48,15,1,0.0028562506680273737,3,0.004240744181581876
1680663823,6.9935867,100.4773304,,3,,100.4773304,6.9935867,1216.0442763182248,False,,,25,23,48,30,2,0.0006085844187081628,4,0.0006835329206802501
1680663828,6.9935953,100.4671096,,3,,100.4671096,6.9935953,1279.2587525269364,False,,,28,25,53,28,5,0.002774668698516507,2,0.0030209243890642256
1680663833,6.9935939,100.4670545,,3,,100.4670545,6.9935939,1314.3099801137084,False,,,20,16,36,28,5,0.002792525062648559,2,0.003042391165421446
1680663855,6.9936249,100.4661664,,3,,100.4661664,6.9936249,2604.3147357785638,False,,,18,19,37,24,5,0.003155088033219777,3,0.003321269410689284
1680663894,6.9936911,100.4681726,,3,,100.4681726,6.9936911,3067.428227273167,False,,,16,21,37,20,3,0.0024149354928350085,5,0.0022478006754764308
1680663909,6.9937647,100.4775276,,3,,100.4775276,6.9937647,1057.4745730028144,False,,,19,27,46,28,2,0.0003893439501343897,4,0.0008610583717222291
1680663938,6.9938539,100.4760893,,3,,100.4760893,6.9938539,680.9343983296415,False,,,13,14,27,26,3,0.0009509107890958183,4,0.0005866362763946491
1680663941,6.9938347,100.4776009,,3,,100.4776009,6.9938347,1539.4760405285065,False,,,16,20,36,23,2,0.00032692892761839256,5,0.0008041515690139999
1680663948,6.9939408,100.4760301,,3,,100.4760301,6.9939408,1621.8540498664972,False,,,25,30,55,33,3,0.00104747583772662,4,0.0006645388740728854
