u,v,key,osmid,highway,name,oneway,reversed,length,bridge,lanes,maxspeed,ref,junction,access,tunnel,flood_level_u,flood_level_v,flood_level
1559016895,1559016903,0,142455600,unclassified,,False,True,71.40267778992153,,,,,,,,1,1,1
1559016895,1110416726,0,142455604,unclassified,,False,False,94.5949611618746,,,,,,,,1,4,4
1559016895,1110416677,0,142455604,unclassified,,False,True,88.89785985155065,,,,,,,,1,4,4
1559016898,1110416726,0,"[148941242, 148941245, 95532102]",residential,ถนนฉัยยากุลอุทิศ,False,False,40.61641300359146,yes,,,,,,,4,4,4
1559016898,1107773207,0,95532102,residential,ถนนฉัยยากุลอุทิศ,False,True,31.65541567984885,,,,,,,,4,4,4
1559016898,1122072674,0,96837170,residential,,False,True,276.47449388346973,,,,,,,,4,3,4
1559016903,1431715372,0,95809262,residential,Thanon Chaiyakuluthit Soi 4,False,False,91.27507927868062,,,,,,,,1,4,4
1559016903,1110416379,0,95809262,residential,Thanon Chaiyakuluthit Soi 4,False,True,49.81546873063363,,,,,,,,1,1,1
1559016903,1559016905,0,142455600,unclassified,,False,True,44.168808816512424,,,,,,,,1,1,1
1559016903,1559016895,0,142455600,unclassified,,False,False,71.40267778992153,,,,,,,,1,1,1
1559016904,1559016905,0,142455595,residential,,False,False,93.75860782033295,,,,,,,,4,1,4
1559016904,1559016909,0,148941242,residential,ถนนฉัยยากุลอุทิศ,False,False,44.97792056766388,,,,,,,,4,4,4
1559016904,1431715372,0,148941242,residential,ถนนฉัยยากุลอุทิศ,False,True,43.56983544372703,,,,,,,,4,4,4
1559016905,1559016904,0,142455595,residential,,False,True,93.75860782033295,,,,,,,,1,4,4
1559016905,1559016903,0,142455600,unclassified,,False,False,44.168808816512424,,,,,,,,1,1,1
1559016905,4900465210,0,142455600,unclassified,,False,True,24.231278637516116,,,,,,,,1,1,1
1559016909,1559016910,0,142455590,residential,Thanon Chaiyakuluthit Soi 2,False,False,94.2089246021944,,,,,,,,4,5,5
1559016909,1559016904,0,148941242,residential,ถนนฉัยยากุลอุทิศ,False,True,44.97792056766388,,,,,,,,4,4,4
1559016909,8643114367,0,155690741,residential,Thanon Chaiyakuluthit Soi 2,False,True,69.93969604867945,,,,,,,,4,4,4
1559016909,1559016916,0,148941242,residential,ถนนฉัยยากุลอุทิศ,False,False,44.133892746999024,,,,,,,,4,5,5
1559016910,1559016909,0,142455590,residential,Thanon Chaiyakuluthit Soi 2,False,True,94.2089246021944,,,,,,,,5,4,5
1559016910,4900465210,0,142455600,unclassified,,False,False,20.924245018618784,,,,,,,,5,1,5
1559016910,1559016918,0,142455600,unclassified,,False,True,46.42687045794616,,,,,,,,5,5,5
1559016911,1431867166,0,142455592,residential,Thanon Rajyindee Soi 9,False,True,53.73609760333928,,,,,,,,5,4,5
1559016915,620881522,0,684704215,residential,Thanon Manasruedee,True,False,5.304271234913963,,,,,,,,5,5,5
1559016915,1680666529,0,706096645,residential,,False,True,82.72638280138617,,,,,,,,5,3,5
1559016916,1559016918,0,142455599,residential,Thanon Chaiyakuluthit Soi 1,True,False,92.97397538245907,,,,,,,,5,5,5
1559016916,1107773211,0,148941242,residential,ถนนฉัยยากุลอุทิศ,False,False,52.89153006895222,,,,,,,,5,5,5
1559016916,1559016909,0,148941242,residential,ถนนฉัยยากุลอุทิศ,False,True,44.133892746999024,,,,,,,,5,4,5
1559016918,1559016910,0,142455600,unclassified,,False,False,46.42687045794616,,,,,,,,5,5,5
1559016918,1559016919,0,706256386,residential,Thanon Chaiyakuluthit Soi 1,False,False,47.75613028006456,,,,,,,,5,5,5
1559016919,1680666950,0,706256380,residential,ถนนละม้ายสงเคราะห์,False,False,17.673486022206376,,,,,,,,5,5,5
1559016919,1680666686,0,706256380,residential,ถนนละม้ายสงเคราะห์,False,True,70.60431033820502,,,,,,,,5,1,5
1559016919,1559016918,0,706256386,residential,Thanon Chaiyakuluthit Soi 1,False,True,47.75613028006456,,,,,,,,5,5,5
1559029733,1177548796,0,102007058,primary_link,,True,False,51.49519169741709,,,,,,,,1,1,1
1559029733,1559029735,0,142456554,residential,ถนนเทียนจ่ออุทิศ 2,False,True,189.5605124739596,,,,,,,,1,1,1
1559029735,1160612976,0,102007034,residential,Thanon Tienjawsongkraw 1,False,False,49.11411982748326,,,,,,,,1,1,1
1559029735,1160612966,0,102007034,residential,Thanon Tienjawsongkraw 1,False,True,52.8457703511191,,,,,,,,1,1,1
1559029735,1559029733,0,142456554,residential,ถนนเทียนจ่ออุทิศ 2,False,False,189.5605124739596,,,,,,,,1,1,1
1559029735,1680662508,0,155690506,residential,ถนนเทียนจ่ออุทิศ 2,False,True,204.6866637874876,,,,,,,,1,5,5
