osmid,y,x,highway,street_count,junction,longitude,latitude,gridcode,flood_distance_deg,flood_level
986112156,6.8323248,100.4637505,,3,,100.4637505,6.8323248,1,0.0029271454106159435,1
986112279,6.9277283,100.46828,,3,,100.46828,6.9277283,1,0.002520365913890393,1
986290289,6.9732181,100.4827185,,3,,100.4827185,6.9732181,1,0.0018849896657358665,1
986290375,6.9743122,100.4793469,traffic_signals,4,,100.4793469,6.9743122,4,0.0023926734936935146,4
986290388,6.9729505,100.48448,,3,,100.48448,6.9729505,1,0.002114438113607992,1
986290468,6.9759561,100.4755142,,3,,100.4755142,6.9759561,1,0.001171075525218243,1
986366894,6.9829416,100.4546833,,4,,100.4546833,6.9829416,3,0.001375633018028565,3
986366899,6.9848494,100.4489546,,3,,100.4489546,6.9848494,1,0.004854034993950617,1
986366937,6.9885662,100.4201779,,3,,100.4201779,6.9885662,3,0.0015068683532278597,3
989949682,6.9738321,100.4790006,,3,,100.4790006,6.9738321,4,0.002501346613871063,4
989950152,6.9754231,100.4798452,,3,,100.4798452,6.9754231,2,0.002294711164860395,2
989950532,6.9749317,100.4789088,,4,,100.4789088,6.9749317,4,0.0016726208320420395,4
989950554,6.9744919,100.4802032,,3,,100.4802032,6.9744919,1,0.002874805854709615,1
989950582,6.9751795,100.4796048,,3,,100.4796048,6.9751795,4,0.002204014981332066,4
989950791,6.9757782,100.4763724,,3,,100.4763724,6.9757782,4,0.0011289467013255942,4
989950847,6.973791,100.4791374,,3,,100.4791374,6.973791,4,0.002617671472260326,4
989951991,6.9745257,100.478751,,3,,100.478751,6.9745257,4,0.0018096701076099491,4
989954231,6.9740649,100.480097,,3,,100.480097,6.9740649,4,0.00314193666554829,4
993669701,6.9746991,100.4795368,traffic_signals,4,,100.4795368,6.9746991,4,0.0023313172454465796,4
1107773181,7.0005261,100.4741073,,3,,100.4741073,7.0005261,2,0.0013934271613597253,2
1107773194,7.0003361,100.4713553,,3,,100.4713553,7.0003361,2,0.0018091648431510583,2
