osmid,y,x,highway,street_count,junction,longitude,latitude
849403406,7.0063915,100.4929148,,3,,100.4929148,7.0063915
849403426,7.0188162,100.4858653,,3,,100.4858653,7.0188162
849403427,7.0159053,100.4880895,,3,,100.4880895,7.0159053
849403447,7.0158872,100.4851514,,3,,100.4851514,7.0158872
849403464,7.0172004,100.4880659,,3,,100.4880659,7.0172004
849403465,7.0188856,100.4865069,traffic_signals,4,,100.4865069,7.0188856
849403482,7.0049576,100.4923631,traffic_signals,4,,100.4923631,7.0049576
849403490,7.0093218,100.4852835,,3,,100.4852835,7.0093218
849403500,7.0051611,100.480653,traffic_signals,4,,100.480653,7.0051611
849403509,7.0170717,100.4860121,,3,,100.4860121,7.0170717
849403518,7.0179174,100.4859534,,3,,100.4859534,7.0179174
849403531,7.005122,100.4885379,traffic_signals,4,,100.4885379,7.005122
856214432,7.0073565,100.480912,,4,,100.480912,7.0073565
856214466,7.0302827,100.5022737,,3,,100.5022737,7.0302827
856214470,7.0077329,100.4733037,,3,,100.4733037,7.0077329
856214477,7.0199314,100.4980641,traffic_signals,3,,100.4980641,7.0199314
856214491,7.007964,100.4936795,,3,,100.4936795,7.007964
856214501,7.030198,100.5022774,,3,,100.5022774,7.030198
856214503,7.0066584,100.4735976,,4,,100.4735976,7.0066584
856214513,7.0194998,100.4978484,,3,,100.4978484,7.0194998
856214521,7.0061384,100.4940287,,3,,100.4940287,7.0061384
856214524,7.0072938,100.4793429,,4,,100.4793429,7.0072938
856214526,7.0078328,100.4939164,,3,,100.4939164,7.0078328
856214538,7.0071878,100.47536,,4,,100.47536,7.0071878
856214571,7.0092474,100.4812263,,4,,100.4812263,7.0092474
856214578,7.0071506,100.4703267,,4,,100.4703267,7.0071506
916327686,7.0137451,100.4713034,,3,,100.4713034,7.0137451
916327702,7.0121213,100.4704568,,3,,100.4704568,7.0121213
916327730,7.0107398,100.470007,,4,,100.470007,7.0107398
916327733,7.0194793,100.493886,,3,,100.493886,7.0194793
916327738,7.0142025,100.4711353,,3,,100.4711353,7.0142025
