u,v,key,osmid,highway,name,oneway,reversed,length,bridge,lanes,maxspeed,ref,junction,access,tunnel
1680664343,1680664471,0,155690845,residential,,False,True,57.50421999070497,,,,,,,
1680664350,1680664343,0,155690784,residential,,False,True,36.97418176818349,,,,,,,
1680664362,1680664401,0,155691108,residential,Thanon Rajdamrei Soi 2,False,False,65.83381203388987,,,,,,,
1680664362,1431715414,0,699753146,residential,ถนนจันทร์นิเวศน์ 3,False,False,46.84402949810085,,,,,,,
1680664362,1680664329,0,699753146,residential,ถนนจันทร์นิเวศน์ 3,False,True,10.284538750931091,,,,,,,
1680664363,4900465368,0,155690759,residential,Thanon Deeland 1,False,False,99.33452371753663,,,,,,,
1680664363,1680664322,0,931321078,tertiary,ถนนพลพิชัย,False,False,25.954246872706854,,,,,,,
1680664363,1680664436,0,931321078,tertiary,ถนนพลพิชัย,False,True,30.17325672246307,,,,,,,
1680664366,1196924331,0,66984623,unclassified,Soi Thaveerat,False,True,6.3700247981812845,,,,,,,
1680664366,1680665225,0,155691112,residential,Thanon Sripoonvanart 16,True,False,215.02078178411634,,,,,,,
1680664366,6630248218,0,947689789,primary,ถนนกาญจนวณิชย์,True,False,363.4750225985159,,3,,,,,
1680664401,1680664437,0,155691108,residential,Thanon Rajdamrei Soi 2,False,False,44.8931487329533,,,,,,,
1680664401,1680664362,0,155691108,residential,Thanon Rajdamrei Soi 2,False,True,65.83381203388987,,,,,,,
1680664401,1431715414,0,"[498671634, 155690517]",residential,Thanon Rajdamrei Soi 2/3,False,"[False, True]",160.30837690814877,,,,,,,
1680664436,1680664320,0,155690668,residential,,False,True,138.02098316013107,,,,,,,
1680664436,4900465457,0,931321078,tertiary,ถนนพลพิชัย,False,True,59.63615292201219,,,,,,,
1680664436,1680664363,0,931321078,tertiary,ถนนพลพิชัย,False,False,30.17325672246307,,,,,,,
1680664437,1680664603,0,95637123,residential,Soi 5 Thung Sao 2 Road,False,False,50.36908445141771,,,,,,,
1680664437,8642230826,0,95637123,residential,Soi 5 Thung Sao 2 Road,False,True,59.17317993374217,,,,,,,
1680664437,1680664401,0,155691108,residential,Thanon Rajdamrei Soi 2,False,True,44.8931487329533,,,,,,,
1680664437,1680664525,0,706256382,residential,Thanon Rajdamrei Soi 2,False,False,191.39664841952882,,,,,,,
1680664471,1680664476,0,155690759,residential,Thanon Deeland 1,False,False,31.211483979253178,,,,,,,
1680664471,4900465368,0,155690759,residential,Thanon Deeland 1,False,True,64.91215105184742,,,,,,,
1680664471,1680664343,0,155690845,residential,,False,False,57.50421999070497,,,,,,,
1680664476,1680664471,0,155690759,residential,Thanon Deeland 1,False,True,31.211483979253178,,,,,,,
1680664521,1680665041,0,155690650,residential,,False,False,117.93778223487237,,,,,,,
1680664525,1680664774,0,155691142,residential,Thanon Rajdamrei Soi 2/1,False,False,44.16221449258921,,,,,,,
1680664525,1680664529,0,706256382,residential,Thanon Rajdamrei Soi 2,False,False,44.07640222462471,,,,,,,
1680664525,1680664437,0,706256382,residential,Thanon Rajdamrei Soi 2,False,True,191.39664841952882,,,,,,,
1680664529,1196924377,0,96941853,unclassified,Thanon Rajdamrei,True,False,23.530112724053403,,,,,,,
1680664529,1680664525,0,706256382,residential,Thanon Rajdamrei Soi 2,False,True,44.07640222462471,,,,,,,
1680664593,4900465115,0,155691164,residential,,False,False,139.8580342886109,,,,,,,
1680664593,4900465694,0,"[155691164, 498671630]",residential,,False,"[False, True]",140.42925864009334,,,,,,,
1680664593,8643316526,0,932390804,residential,,False,False,63.30216142521228,,,,,,,
1680664603,8642697501,0,95637123,residential,Soi 5 Thung Sao 2 Road,False,False,32.15156043545884,,,,,,,
1680664603,1680664437,0,95637123,residential,Soi 5 Thung Sao 2 Road,False,True,50.36908445141771,,,,,,,
1680664603,1680664774,0,155690552,residential,Thanon Rajdamri Soi 2/2,False,False,194.09713591368674,,,,,,,
1680664732,8642604214,0,706259496,residential,,False,True,96.11418125143925,,,,,,,
1680664774,1680664525,0,155691142,residential,Thanon Rajdamrei Soi 2/1,False,True,44.16221449258921,,,,,,,
1680664774,1680664603,0,155690552,residential,Thanon Rajdamri Soi 2/2,False,True,194.09713591368674,,,,,,,
1680664774,1680664921,0,155691142,residential,Thanon Rajdamrei Soi 2/1,False,False,108.56396473869546,,,,,,,
1680664784,809537420,0,155691091,residential,Thanon Sripuwanart Soi 12,False,True,273.27053621924995,,,,,,,
1680664921,8642697507,0,932318969,residential,,False,False,24.121804600720576,,,,,,,
1680664921,1680665180,0,155690656,residential,,False,False,70.6332860139669,,,,,,,
1680664921,1680664774,0,155691142,residential,Thanon Rajdamrei Soi 2/1,False,True,108.56396473869547,,,,,,,
1680664939,1108909313,0,95637131,unclassified,Thanon Thungsao 2,False,False,46.352803403810846,,,,,,,
1680664939,1559016829,0,95637131,unclassified,Thanon Thungsao 2,False,True,10.619414729392972,,,,,,,
1680664939,1680665449,0,155690823,residential,Thanon Thung Sao 7,False,True,148.82987970845576,,,,,,,
1680664977,1680664987,0,706256376,residential,Thanon Rajdamrei Soi 3,False,False,65.62172392838153,,,,,,,
1680664977,1680665326,0,155691069,residential,Thanon Rajdamrei Soi 1,False,True,145.92806716358496,,,,,,,
1680664977,8642230827,0,932266426,residential,,False,False,35.02024931073256,,,,,,,
1680664987,1680664977,0,706256376,residential,Thanon Rajdamrei Soi 3,False,True,65.62172392838153,,,,,,,
1680664987,1680664529,0,96941853,unclassified,Thanon Rajdamrei,True,False,95.21033214711962,,,,,,,
1680665041,1680664521,0,155690650,residential,,False,True,117.93778223487237,,,,,,,
1680665041,13368519214,0,323958075,secondary,ถนนศรีภูวนารถ,False,False,47.0049578499764,,,,,,,
1680665041,4900464613,0,323958075,secondary,ถนนศรีภูวนารถ,False,True,13.752164735204293,,,,,,,
1680665045,1108909519,0,685344729,unclassified,Thanon Sripoomvanart Soi 10,False,True,41.01824134332424,,,,,,,
1680665045,1680665173,0,155690647,residential,Thanon  Sripuwanart soi 10/1,False,False,101.35428336882259,,,,,,,
1680665045,4900465022,0,685344729,unclassified,Thanon Sripoomvanart Soi 10,False,False,48.43770414734417,,,,,,,
1680665112,8642604214,0,706259496,residential,,False,False,55.37216772097314,,,,,,,
1680665112,1680665225,0,155691109,residential,Thanon Sripunwanart Soi 16/1,False,True,115.96053058985498,,,,,,,
1680665112,11252506077,0,498671697,residential,,False,True,43.30744927348614,,,,,,,
1680665173,1680665045,0,155690647,residential,Thanon  Sripuwanart soi 10/1,False,True,101.35428336882259,,,,,,,
1680665180,1680664921,0,155690656,residential,,False,True,70.6332860139669,,,,,,,
1680665180,1680665586,0,155690962,residential,Soi 6 Sripoonvant,False,False,226.25036258099652,,,,,,,
1680665180,8642697487,0,"[1217977144, 932318967]",residential,,False,False,76.00407827202554,,,,,,,
1680665225,1680665112,0,155691109,residential,Thanon Sripunwanart Soi 16/1,False,False,115.96053058985498,,,,,,,
1680665225,1680665366,0,155691112,residential,Thanon Sripoonvanart 16,True,False,44.06952728072518,,,,,,,
